Servicio AWS,Azure,GCP,Open Source,Quality,Notes_ES,Notes_EN
AccessAnalyzer,Microsoft Entra Permissions Management (CIEM) / Microsoft Defender for Cloud,IAM Recommender,Cloud Custodian + OPA/Conftest,APPROX,"Equivalencia por función (análisis/recomendaciones de permisos/exposición), no 1:1; AWS usa análisis formal (Access Analyzer) y otros suelen apoyarse en telemetría/heurísticas (CIEM/recommenders).","Functionally equivalent (permission/exposure analysis and recommendations), not 1:1; AWS uses formal analysis (IAM Access Analyzer) while others typically rely on telemetry/heuristics (CIEM/recommenders)."
ACM,Azure Key Vault Certificates (+ App Service managed cert si aplica),Certificate Manager,Cert-manager / Let's Encrypt,CLOSE,"Gestión de certificados TLS. Equivalencia cercana; difieren flujos (DNS/HTTP), automatización y acoplamiento a servicios. En OSS, cert-manager + ACME (Let's Encrypt) suele cubrir la paridad.","TLS certificate management. Close equivalent; workflows (DNS/HTTP), automation, and service coupling differ. In OSS, cert-manager + ACME (Let's Encrypt) usually provides comparable coverage."
ALB,Application Gateway,HTTP(S) Load Balancing,Nginx / HAProxy,CLOSE,"Balanceador L7; diferencias en features (reglas de ruteo, integración con WAF nativo y gestión de certificados).","Layer‑7 load balancer; feature differences (routing rules, native WAF integration, certificate/TLS handling)."
AlexaForBusiness,,,,,No es servicio cloud core; es producto de usuario final. AWS lo deprecó; marcar NA.,Not a core cloud service; it is an end‑user product. AWS deprecated it; mark as NA.
AmazonML,Azure Machine Learning,Vertex AI,Kubeflow / MLflow (scikit-learn como librería),APPROX,"Amazon ML es un servicio legacy; el reemplazo real es una plataforma de ML moderna (Azure ML / Vertex AI / Kubeflow), sin paridad 1:1 de features/flujo.","Amazon ML is a legacy service; the real replacement is a modern ML platform (Azure ML / Vertex AI / Kubeflow), with no 1:1 parity in features/flow."
AmazonMQ,Azure Service Bus / RabbitMQ,Pub/Sub / RabbitMQ,RabbitMQ / ActiveMQ,APPROX,"AWS ofrece brokers managed (ActiveMQ/RabbitMQ). En Azure/GCP no hay 1:1; si necesitas AMQP/JMS usa RabbitMQ/ActiveMQ (self-host/marketplace). Si solo colas, Service Bus/PubSub sirven.","AWS provides managed brokers (ActiveMQ/RabbitMQ). There is no 1:1 in Azure/GCP; if you need AMQP/JMS use RabbitMQ/ActiveMQ (self‑host/marketplace). If you only need queues/pub‑sub, Service Bus/Pub/Sub are sufficient."
AMI,Managed Image,Compute Engine Image,Packer,CLOSE,Equivalente conceptual a imagen de VM (golden image). Packer ayuda a estandarizar el build multi-nube; metadatos/marketplace difieren.,Conceptually equivalent to a VM golden image. Packer helps standardize multi‑cloud image builds; metadata/marketplace mechanics differ.
Amplify,Static Web Apps,Firebase,Appwrite / PocketBase,APPROX,Plataforma fullstack (hosting + auth + CI/CD); equivalencia depende de qué parte uses. Requiere combinar servicios en Azure/GCP para paridad total.,Full‑stack platform (hosting + auth + CI/CD); equivalence depends on which parts you use. Achieving full parity requires combining services in Azure/GCP.
ApiGateway,API Management,API Gateway,Kong / Tyk,CLOSE,"API management/gateway; equivalente funcional cercano, pero cambia el modelo de políticas de tráfico, cuotas y autenticación nativa.","API management/gateway; close functional equivalent, but the model for traffic policies, quotas, and built‑in authentication differs."
AppDiscovery,Azure Migrate,Migration Center,Open-AudIT / NetBox + Nmap,APPROX,"Discovery para migración; equivalencia por intención, no 1:1. Depende de agentes y profundidad del análisis de dependencias de red.","Migration discovery; equivalence by intent, not 1:1. Depends on agents and the depth of dependency/network analysis."
AppStream,Azure Virtual Desktop,Itopia,Apache Guacamole,APPROX,Streaming de apps gestionado; no hay OSS/Cloud 1:1 perfecto por el uso de protocolos propietarios de baja latencia (STX/NICE DCV).,Managed app/desktop streaming; no perfect 1:1 OSS/cloud match due to proprietary low‑latency protocols and user‑experience differences.
AppSync,API Management (GraphQL),Apigee + Cloud Run (GraphQL) (aprox.),Hasura / Apollo Server,APPROX,AppSync incluye GraphQL + sync/offline + resolvers + auth integrado. En otros clouds se logra combinando GraphQL (Apollo/Hasura) + auth + DB/streams; por eso es APPROX.,Includes GraphQL + sync/offline + resolvers + integrated auth. In other clouds it is built by combining GraphQL (Apollo/Hasura) + auth + DB/streams; therefore APPROX.
Athena,Synapse (Serverless),BigQuery,Trino / Presto,CLOSE,Equivalente depende del patrón: SQL serverless sobre data lake -> BigQuery/Trino. Requiere metastore/catálogo (Glue/Hive).,Equivalent depends on the pattern: serverless SQL over a data lake → BigQuery/Trino. Requires a metastore/catalog (Glue/Hive) in many setups.
Aurora,Azure Database for PostgreSQL/MySQL (managed),AlloyDB,PostgreSQL/MySQL + Patroni (HA) (aprox.),CLOSE,"RDBMS managed compatible MySQL/Postgres; capacidades específicas de Aurora (storage/replicas/compat) no siempre replican 1:1. Alternativa OSS requiere HA (p.ej., Patroni) y tuning.",Managed RDBMS compatible with MySQL/Postgres; Aurora‑specific capabilities (storage/replication) do not always map 1:1 to other managed databases.
AutoScaling,Autoscale Settings,Autoscaler,K8s HPA,CLOSE,"Equivalencia por patrón de elasticidad (VM/K8s), pero el mecanismo de cooldown y triggers de escalado nativos difiere.","Elasticity pattern equivalence (VM/K8s), but triggers, cooldowns, and scaling semantics differ across platforms."
AWSConfig,Azure Policy,Cloud Asset Inventory,Cloud Custodian,APPROX,"Compliance/policy; equivalencia por función, no 1:1. AWSConfig registra historial de cambios; Azure Policy es preventivo en tiempo real.","Compliance/policy; functionally equivalent, not 1:1. AWS Config records configuration history; Azure Policy is more preventative/guardrail‑oriented."
Batch,Azure Batch,Cloud Batch,Slurm / HTCondor / Volcano (K8s batch),CLOSE,"Batch scheduling a gran escala. Equivalencia cercana; difieren integraciones (spot/preemibles, colas, prioridades y plugins).","Large‑scale batch scheduling. Close equivalent; features differ (queue management, priorities, spot/preemptible integration)."
BeanStalk,App Service,App Engine,Dokku,APPROX,"PaaS clásico; equivalente funcional para despliegue rápido, pero introduce lock-in operativo frente al uso de contenedores (ECS/EKS).","Classic PaaS; functional equivalent for rapid deployment, but introduces operational lock‑in compared with container/K8s approaches."
Chime,Microsoft Teams,Google Meet,Jitsi / Zulip,APPROX,Comunicación/collab; depende del caso: meetings (app) vs SDK de infraestructura de video para integración personalizada.,Communication/collaboration; depends on the use case: meetings app vs video infrastructure SDK for custom integration.
CloudFormation,ARM Templates / Bicep,Infrastructure Manager (Terraform) (recomendado) / Deployment Manager (deprecado),Terraform / Pulumi,CLOSE,"IaC nativo. En GCP, Deployment Manager está en deprecación y se recomienda migrar a Infrastructure Manager/Terraform. OSS típico: Terraform/Pulumi.","Native IaC. In GCP, Deployment Manager is deprecated; Terraform/Infrastructure Manager is the practical alternative. OSS/OpenTofu is the neutral equivalent."
CloudFront,Azure Front Door / CDN,Cloud CDN,Varnish / Nginx,CLOSE,CDN global. Semántica distinta en la invalidación de caché (tiempos de propagación) y gestión de comportamientos (behaviors). Integración nativa profunda con S3 y WAF.,Global CDN. Cache invalidation semantics differ (granularity/propagation). OSS alternatives require caching/CDN tooling and typically a multi‑POP footprint.
CloudHSM,Dedicated HSM,Cloud HSM,SoftHSM,CLOSE,Hardware Security Module físico dedicado. No es multi-inquilino. Cumplimiento FIPS 140-2 Level 3. Azure ofrece hardware similar; en GCP es un servicio gestionado más abstracto.,Dedicated physical HSM. Not multi‑tenant. OSS SoftHSM is only a software substitute (not equivalent in tamper‑resistance/compliance).
CloudTrail,Activity Log,Cloud Audit Logs,auditd + syslog/ELK/Opensearch (aprox.),CLOSE,Auditoría de APIs/control-plane. Azure Activity Log y GCP Cloud Audit Logs son equivalentes cercanos; OSS requiere agregación/centralización de logs y controles (no 1:1).,API/control‑plane auditing. Azure Activity Log and GCP Cloud Audit Logs are close equivalents; event models and retention/integration differ.
CloudWatch,Azure Monitor,Cloud Monitoring,Prometheus / Grafana,CLOSE,"Observabilidad integrada. Para evitar lock-in usar stack OSS: Prometheus (métricas), Loki (logs) y Grafana (visualización).","Integrated observability. To avoid lock‑in, use an OSS stack (Prometheus/Grafana/Loki/OTel); native services differ in metrics/logs/traces unification and pricing."
CodeBuild,Azure Pipelines,Cloud Build,Jenkins / GitLab CI,CLOSE,Servicio de compilación gestionado. Enseña el concepto de agentes efímeros. Diferencias en la sintaxis de definición y límites de cómputo por build.,Managed build service. Teaches the agent/runner concept; OSS alternatives (Jenkins/GitLab CI) require self‑managed workers and scaling.
CodeCommit,Azure Repos,Cloud Source Repositories (legacy; end-of-sale 2024) / GitHub/GitLab,Gitea / GitLab,CLOSE,"Git gestionado. En GCP, Cloud Source Repositories dejó de estar disponible para nuevos clientes (end-of-sale 2024); alternativa práctica: GitHub/GitLab/Bitbucket. Git como protocolo mantiene portabilidad.","Managed Git. In GCP, Cloud Source Repositories is no longer available for new customers (end‑of‑sale 2024); practical alternatives: GitHub/GitLab/Bitbucket. Git as a protocol preserves portability."
CodeDeploy,Azure Pipelines,Cloud Build / Deploy,Ansible / Spinnaker,APPROX,Automatización de despliegue. Cambia drásticamente según el destino (Lambda vs EC2); requiere agentes instalados en el host. Spinnaker recomendado para despliegues complejos.,Deployment automation. It varies dramatically by target (Lambda vs EC2); requires agents installed on the host. Spinnaker is a common choice for complex deployments.
CodePipeline,Azure Pipelines,Cloud Build,ArgoCD / Tekton,CLOSE,Orquestador de CD. Diferencias en la gestión de estados entre etapas y disparadores. OSS: ArgoCD para patrones GitOps.,CD orchestrator. Differences include how state is modeled/managed across stages and integrations; OSS alternatives often rely on Git-based workflows or CI runners.
Cognito,Entra ID (B2C),Identity Platform,Keycloak / Auth0,CLOSE,Auth de usuarios finales. Difieren en flujos de federación OIDC/SAML y gestión de pools de identidad. Keycloak es el estándar OSS para evitar dependencia.,"End‑user authentication/identity. Federation flows (OIDC/SAML), MFA, and user‑pool features differ; OSS typically uses Keycloak/Auth0‑like patterns (with more integration work)."
Comprehend,Language Service,Natural Language AI,spaCy / NLTK,CLOSE,NLP gestionado para análisis de sentimiento y entidades. Útil si no se quiere entrenar modelos. OSS como spaCy requiere gestionar el alojamiento de la API.,"Managed NLP for sentiment, entities, and classification. Capabilities vary by language/model; OSS alternatives require model selection/training and operations (spaCy/HF)."
Connect,Dynamics 365 Customer Service (Omnichannel) / Azure Communication Services (según caso),"CCAI Platform / partners (Genesys, Twilio)",Twilio / Asterisk,APPROX,Contact Center (CCaaS). No hay gemelo 1:1; suele mapearse a plataformas de CCaaS + integración con canales/IVR/IA.,"Contact Center (CCaaS). No 1:1 twin; often maps to vendor platforms (e.g., Twilio/Five9) or cloud communication services + orchestration."
ControlTower,Landing Zones,Cloud Foundation Toolkit (Landing Zone) + Org Policy (aprox.),Terraform + policy-as-code (OPA/Conftest) + landing-zone modules,APPROX,Gobernanza multicuenta/landing zone. En AWS es Control Tower (guardrails/SCP). En Azure: Azure Landing Zone + Policy. En GCP: Cloud Foundation Toolkit + Organization Policy; SCC no es el equivalente directo.,Multi‑account governance / landing zone. In AWS it is Control Tower (guardrails/SCPs). In Azure: Azure Landing Zone + Policy. In GCP: Cloud Foundation Toolkit + Organization Policy; SCC is not the direct equivalent.
CouchBase,Couchbase Azure,Couchbase GCP,Couchbase Community Edition (source-available),APPROX,Tercero/managed (Couchbase Capella). En Azure/GCP se consume como SaaS del mismo vendor. La alternativa self-host (Community Edition) no es 1:1 en features/operación.,Third‑party managed service (Couchbase Capella). In Azure/GCP it is typically consumed as the same vendor offering; not a native 1:1 cloud service.
DataExchange,Data Share,Analytics Hub,CKAN (data portal/catalog),APPROX,Marketplace de datos. Varía el catálogo disponible y los métodos de suscripción o entrega de datasets de terceros.,Data marketplace/exchange. Available catalogs and onboarding methods vary across clouds; OSS typically depends on data catalogs and governance tooling.
DataPipeline,Data Factory,Cloud Data Fusion,Apache Airflow,APPROX,Orquestador de datos legacy. Servicio en mantenimiento; migrar a Glue o Airflow (MWAA). Cambia el patrón de tareas visuales a código.,Legacy data orchestrator. In maintenance mode; migrate to modern options (Step Functions/Glue/Airflow/Composer) depending on the pattern.
DeepLens,,,,,Dispositivo/hardware para edge AI (no servicio cloud core). Si buscas equivalentes funcionales: Jetson/Coral + framework (OpenCV/ONNX/OpenVINO) (aprox.).,Device/hardware for edge AI (not a core cloud service). Mark as NA; equivalents are usually edge camera + model deployment stacks.
Detective,Sentinel,Security Operations (Chronicle) / Security Command Center (aprox.),Security Onion / Wazuh (aprox.),APPROX,Investigación de seguridad (detección + análisis). Equivalencia por intención: SIEM/SecOps + correlación de eventos; no 1:1.,"Security investigation (detection + analysis). Functional equivalents exist, but data sources and workflows differ (e.g., Sentinel/Defender/SCC + SIEM)."
DevTools,Azure DevOps,Cloud Build,GitLab,APPROX,Conjunto de herramientas de desarrollo. No hay 1:1 total; cada nube agrupa estas utilidades de forma distinta.,"Suite of developer tools. No complete 1:1 mapping; depends on which components you consider (repos, CI/CD, artifacts, boards)."
DirectConnect,ExpressRoute,Cloud Interconnect,N/A (enlace dedicado carrier),CLOSE,Enlace dedicado (carrier) hacia la nube. Equivalencia por patrón (circuito privado). No hay OSS directo (depende de proveedor de conectividad).,"Dedicated private connectivity (carrier) into the cloud. Equivalent by connectivity pattern; OSS does not apply. Differences in bandwidth, SLA, and partner ecosystem."
DirectoryService,Entra Domain Services,Managed AD,Samba / FreeIPA,CLOSE,Active Directory gestionado. Fundamental para entornos Windows legacy. Enseña integración de identidades on-premise.,Managed Active Directory. Key for legacy Windows environments; highlights on‑prem identity integration patterns.
DMS,Database Migration Service,Database Migration,Debezium + Kafka Connect / Airbyte / pgloader,CLOSE,Migración de DB con replicación CDC. No es 1:1; la compatibilidad de motores varía. Requiere validar el esquema antes de sincronizar.,Database migration with CDC replication. Not 1:1; compatibility depends on source/target engines and supported change-capture modes.
DocumentDB,Cosmos DB (Mongo API),Firestore / Atlas,MongoDB,CLOSE,Compatible con MongoDB pero con semántica de almacenamiento distinta. Limitación: no soporta el 100% de operadores recientes; gestión de índices propietaria.,MongoDB‑compatible API but different storage semantics. Limitation: it does not support 100% of newer operators; index management is provider‑specific.
DynamoDB,Cosmos DB,Cloud Bigtable,ScyllaDB / Cassandra,CLOSE,NoSQL clave-valor. Cambia la semántica de consistencia: Cosmos DB ofrece 5 niveles frente a los 2 de DynamoDB (eventual/fuerte).,Key‑value NoSQL. Consistency semantics differ: Cosmos DB offers five consistency levels vs DynamoDB’s two (eventual/strong).
DynamoDBStream,Change Feed,Bigtable Streams,Kafka / Debezium,CLOSE,Captura de cambios (CDC). En Azure/GCP se integra en el servicio de DB; en OSS requiere Kafka. Diferencia en retención de eventos y garantías de ordenamiento.,Change data capture (CDC). In Azure/GCP it is typically integrated into the database service or stream platform (Cosmos/Spanner/Firestore + eventing).
EBS,Managed Disks,Persistent Disk,Longhorn / Rook,CLOSE,Almacenamiento de bloques persistente para VMs. Sin variaciones semánticas de uso; rendimiento facturado por reglas de tipo de volumen similares.,Persistent block storage for VMs. Similar usage semantics; performance/pricing differ by volume types and IOPS tiers.
EC2,Virtual Machines,Compute Engine,KVM / OpenStack,CLOSE,"VM/IaaS. Equivalencia cercana (instancias). Diferencias en tipos, red, discos y features (spot, placement, etc.).","VM/IaaS. Close equivalence (instances). Differences in instance families, networking, disks, and features (spot, placement, etc.)."
ECR,Container Registry,Artifact Registry,Harbor,CLOSE,"Registro de imágenes OCI. Equivalencia cercana; difieren features (scanning, IAM, replicación) según proveedor.","OCI container image registry. Close equivalent; differences in integrations, scanning, and retention policies."
ECS,Container Apps,Cloud Run,Nomad,CLOSE,Orquestación propietaria de contenedores. Patrón menos complejo que K8s pero con lock-in del plano de control. OSS: Nomad ofrece paridad operativa.,"Proprietary container orchestration. Pattern is simpler than Kubernetes; equivalents are managed container services (AKS/GKE, Container Apps/Cloud Run depending on scope)."
EFS,Azure Files,Cloud Filestore,NFS / GlusterFS,CLOSE,File system compartido (NFS). Permite consistencia POSIX para instancias concurrentes. Diferencias en límites de throughput burstable.,Shared file system (NFS). Provides POSIX‑like semantics; limits and performance/throughput scaling differ across providers.
EKS,AKS,GKE,Kubernetes,CLOSE,"Kubernetes gestionado. Equivalencia cercana; difiere integración IAM, add-ons, networking (CNI) y operación.","Managed Kubernetes. Close equivalent; differs in integrations, add‑ons, identity/IAM model, and networking defaults."
ElastiCache,Azure Cache for Redis,Memorystore,Redis / Memcached,CLOSE,"Caché en memoria. Utiliza motores OSS. Diferencias en la gestión de clusters, replicación geográfica y persistencia gestionada.","In‑memory cache. Uses OSS engines (Redis/Memcached). Differences are mainly in management features (replication, clustering, failover) and integrations."
ElasticTranscoder,Media Services,Transcoder API,FFmpeg,CLOSE,Servicio legacy; AWS recomienda MediaConvert. FFmpeg es la base técnica OSS. Patrón cambia de API serverless a procesamiento basado en trabajos.,"Legacy service; AWS recommends MediaConvert. FFmpeg is the OSS baseline, but you must build the pipeline (queues, storage, scaling) yourself."
ELB,Azure Load Balancer (L4) / Application Gateway (L7),Cloud Load Balancing,HAProxy / Nginx / Envoy,CLOSE,ELB (clásico) cubre L4/L7 según tipo. Equivalencia por patrón; para L7 se acerca a App Gateway/HTTP(S) LB.,"Classic ELB covers L4/L7 depending on type. Equivalent by load‑balancing pattern; capabilities differ from newer LBs (rules, TLS, WAF integrations)."
ElementalLive,Media Services,Live Stream API,OBS,APPROX,Codificación de video profesional. OSS (OBS) sirve para codificación básica en un nodo; el servicio cloud escala a transcodificación masiva distribuida.,"Professional live video encoding. OSS (OBS) can cover encoding, but not the full managed workflow/integration of broadcast‑grade pipelines."
EMR,HDInsight,Dataproc,Spark / Hadoop,CLOSE,Big Data gestionado. Abstrae clusters Hadoop/Spark. Los servicios en Azure/GCP son equivalentes 1:1. OSS Spark sobre K8s requiere orquestación manual.,Managed Big Data. Abstracts Hadoop/Spark clusters. Managed services reduce ops work; OSS equivalents are Hadoop/Spark stacks you operate yourself.
EventBridge,Event Grid,Eventarc,Apache Pulsar / RabbitMQ,CLOSE,Bus de eventos serverless. La semántica de filtrado y triggers nativos varían. OSS: Pulsar permite paridad en arquitecturas desacopladas complejas.,Serverless event bus. Native filtering and trigger semantics vary by provider. OSS: Pulsar can provide parity for complex decoupled architectures.
Fargate,Container Apps,Cloud Run,Nomad,CLOSE,Cómputo serverless para contenedores. Elimina la gestión de nodos. El límite de recursos y tiempo de arranque varían entre proveedores.,Serverless compute for containers. Removes node management. Resource limits and cold‑start behavior vary across providers.
Firehose,Event Hubs Capture,Cloud Dataflow,Kafka,CLOSE,"Ingesta de streaming a destinos finales. Requiere configurar buffers, reintentos y transformaciones que cambian según el SDK y la integración.","Streaming ingestion to final destinations. Requires configuration for buffering, transforms, and schemas. OSS: Kafka Connect plays a similar role."
FSX,NetApp Files,Cloud Filestore,Lustre / OpenZFS,CLOSE,"File systems especializados (Windows, Lustre). Semántica distinta en la gestión de metadatos y backups automáticos frente a OSS.","Specialized file systems (Windows, Lustre). Semantics differ in metadata management and automated backups compared with OSS/self‑managed options."
GlobalAccelerator,Front Door,Anycast IP,Anycast (BGP) + NGINX/Envoy (aprox.),APPROX,Optimización de red vía Anycast IP (Capa 3/4). No realiza caché; optimiza la latencia del tráfico TCP/UDP mediante el backbone del proveedor.,Network optimization via Anycast IP (Layer 3/4). It does not perform content caching; OSS equivalents are non‑trivial (BGP/anycast infrastructure).
Glue,Data Factory,Cloud Data Fusion,Apache Airflow / Spark,APPROX,"ETL serverless + Catálogo. Glue combina Spark con Data Catalog. En Azure/GCP, catálogo y ETL suelen ser servicios separados con integración manual.",Serverless ETL + Catalog. Glue combines Spark execution with a Data Catalog; OSS requires Spark + a metastore/catalog (Hive/Glue‑like) and orchestration.
Grafana,Azure Managed Grafana,Managed Service for Grafana,Grafana,CLOSE,"Servicio gestionado basado en Grafana. Equivalencia cercana; difiere en integración IAM, alerting, y límites del servicio gestionado vs OSS autogestionado.","Managed service based on Grafana. Close equivalent; differences are in auth, plugin availability, scaling, and managed operations."
Greengrass,IoT Edge,IoT Core Edge,KubeEdge / EdgeX,APPROX,Extiende capacidades cloud a dispositivos locales. Diferencia semántica en runtime (Lambda vs Edge runtime). Depende de capacidad del hardware.,"Extends cloud capabilities to on‑prem/edge devices. Packaging, device management, and runtime model differ across platforms; OSS requires assembling edge runtime + orchestration."
GuardDuty,Microsoft Defender,Security Command Center,Falco / Wazuh,APPROX,Detección de amenazas inteligente. Cobertura de logs y algoritmos de anomalías varían; no hay paridad 1:1 en tipos de hallazgos.,Managed threat detection. Log coverage and detection algorithms differ; OSS requires SIEM/EDR tooling and curated detection rules.
IAM,Entra ID,Cloud IAM,Keycloak,CLOSE,"Identidad y permisos. Diferencia crítica en jerarquía: AWS es plano por cuenta; GCP usa organización/proyecto, cambiando el patrón de herencia.","Identity and permissions. Critical hierarchy difference: AWS is mostly account‑flat; GCP uses org/project, changing inheritance and policy patterns."
Inspector,Defender for Cloud,Artifact Registry vulnerability scanning + Security Command Center (aprox.),OpenVAS / Clair,APPROX,Escaneo de vulnerabilidades (hosts/containers/imágenes). En GCP se aproxima con scanning en Artifact Registry/Container Analysis + findings en SCC.,"Vulnerability scanning (hosts/containers/images). In other clouds it maps to security posture + scanning services; OSS tools (e.g., Trivy) require integration into CI/runtime."
IoT1Click,IoT Central,(sin equivalente nativo) Pub/Sub + Cloud Run/Functions + dispositivo/partner (aprox.),ThingsBoard / ChirpStack (aprox.),APPROX,Abstracción para dispositivos tipo ‘1-click’. No hay equivalente directo; se arma con IoT/mensajería + triggers/workflows.,Abstraction for “one‑click” devices. No direct equivalent; built with IoT messaging + triggers/workflows.
IoTAnalytics,Time Series Insights,BigQuery,Apache Druid,APPROX,Pipeline para datos IoT. Diferencia de patrón: requiere pre-procesamiento. Para tiempo real -> Druid; para histórico masivo -> BigQuery.,Pipeline/analytics for IoT data. Pattern differs: often requires pre‑processing/ETL + storage + analytics; OSS is typically a time‑series DB + stream processing stack.
IoTCore,IoT Hub,(IoT Core retirado) MQTT broker partner (EMQX/HiveMQ) + Pub/Sub (aprox.),Mosquitto,APPROX,Google Cloud IoT Core fue retirado (agosto 2023); en GCP se reemplaza con brokers/partners + Pub/Sub + procesamiento (Cloud Run/Functions).,Google Cloud IoT Core was retired (Aug 2023); in GCP it is replaced with partner brokers + Pub/Sub + processing (Cloud Run/Functions).
