Servicio AWS,Azure,GCP,Open Source,Quality,Notes_ES,Notes_EN
Kendra,Cognitive Search,Vertex AI Search,Elasticsearch / Solr,APPROX,Búsqueda empresarial con ML. Abstrae indexación semántica. OSS requiere configurar embeddings y modelos de lenguaje manualmente para paridad.,Enterprise search with ML. Abstracts semantic indexing. OSS requires a search engine (OpenSearch/Elasticsearch) plus vector/ML components.
Kinesis,Event Hubs,Cloud Pub/Sub,Apache Kafka,CLOSE,Streaming masivo. Patrón de retención basado en log. Kinesis usa Shards; Event Hubs Partitions. Cambia la semántica de escalado manual vs automático.,High‑throughput streaming. Log‑retention pattern. Kinesis uses shards; Event Hubs uses partitions. Scaling semantics differ (manual vs automatic).
KinesisAnalytics,Stream Analytics,Cloud Dataflow,Apache Flink,CLOSE,Análisis SQL/Java sobre streams. OSS Flink es el estándar; implementaciones cloud limitan funciones de estado para simplificar gestión.,SQL/Java analytics over streams. OSS Flink is the standard; cloud offerings may limit stateful features to simplify operations.
KinesisDataStream,Event Hubs,Cloud Pub/Sub,Kafka,CLOSE,Ingesta de baja latencia con orden garantizado. Permite múltiples consumidores independientes leyendo el mismo stream histórico.,Low‑latency ingestion with ordering. Supports multiple consumers; consumer models differ from Pub/Sub/partitions in other platforms.
KinesisVideo,Media Services,Video Intelligence,GStreamer / WebRTC,APPROX,"Streaming de video para análisis IA. Patrón optimizado para Computer Vision, no para broadcasting masivo. Requiere SDKs específicos de ingesta.",Video streaming for AI/analytics. Optimized ingestion pattern; OSS typically uses RTSP/WebRTC + storage + processing pipelines you manage.
KMS,Key Vault,Cloud KMS,HashiCorp Vault,CLOSE,Gestión de llaves. Diferencia en aislamiento hardware (FIPS 140-2 Level 2/3). Semántica distinta en rotación automática y políticas de acceso.,"Key management. Differences in hardware isolation/compliance (e.g., FIPS levels). Automatic rotation and access‑policy semantics also differ."
LakeFormation,Purview,Dataplex,Apache Atlas,APPROX,"Gobernanza de Data Lake. Capa de permisos finos sobre S3/Glue. En Azure/GCP, gobierno y seguridad están más fragmentados entre servicios distintos.",Data lake governance. Adds fine‑grained permissions over S3/Glue; other clouds use combinations of catalog + IAM + policy. OSS requires catalog + policy enforcement tooling.
Lambda,Azure Functions,Cloud Functions,OpenFaaS / Knative,CLOSE,"FaaS (Serverless). Enseña ejecución efímera. Diferencias críticas en triggers, límites de memoria/timeout y manejo de concurrencia reservada.","FaaS (serverless). Teaches ephemeral execution. Critical differences in triggers, memory/timeout limits, and reserved concurrency handling."
LambdaAtEdge,Azure Front Door + Azure Functions (aprox.),Cloud CDN + Cloud Functions/Cloud Run (aprox.),OpenFaaS / Knative (edge) + CDN (aprox.),APPROX,Ejecución de lógica en el borde (CDN). No hay 1:1 perfecto; se aproxima integrando CDN + funciones/servicios serverless cercanos al edge.,Run logic at the edge (CDN). No perfect 1:1; approximated by combining CDN + functions/serverless services close to the edge.
Lex,Bot Service,Dialogflow,Rasa,CLOSE,Motor de Chatbots (ASR/NLP). Diferencia semántica en gestión de Intents/Slots. Rasa es recomendado para privacidad total de datos de diálogo.,"Chatbot engine (ASR/NLP). Semantics differ in intent/entity management, language support, and channel integrations."
LookoutForVision,Cognitive Vision,Vertex Vision,TensorFlow,APPROX,IA para defectos industriales. Cambia de entrenamiento manual a transfer learning gestionado con pocos ejemplos (few-shot).,Industrial defect detection AI. Shifts from manual training to AutoML‑style workflows; data labeling and model lifecycle differ across platforms.
Macie,Microsoft Purview,Sensitive Data Protection,OpenDLP / Apache Tika + YARA (aprox.),APPROX,Descubrimiento de PII en S3 mediante ML. En Azure/GCP escaneo es transversal a múltiples servicios; Macie está optimizado y limitado a S3.,PII discovery in S3 using ML. In Azure/GCP you typically scan object storage with DLP services; coverage and classifiers differ.
MAM,Intune (MAM),Endpoint Management,N/A (MAM suele ser propietario),APPROX,Gestión de aplicaciones móviles. AWS no tiene servicio dedicado; usa AppConfig/Device Farm. Intune es líder funcional para políticas de contenedores.,"Mobile application management. AWS has no dedicated MAM; it relies on adjacent tools (e.g., AppConfig/Device Farm). Intune is the functional leader for policy/containerization."
MediaConnect,Media Services,Live Stream API,Zixi / RIST,APPROX,Transporte de video de alta calidad. Depende del soporte de protocolos específicos (Zixi/RIST) en puntos de ingesta de otros proveedores.,High‑quality video transport. Equivalence depends on protocol support and managed ingest/egress features; OSS requires building the transport + monitoring pipeline.
MediaConvert,Media Services,Transcoder API,FFmpeg,CLOSE,Transcodificación de video basada en archivos. Escala mediante arquitectura de jobs distribuidos. OSS FFmpeg requiere orquestación manual para paridad.,File‑based video transcoding. Scales as a managed service; OSS uses FFmpeg with job orchestration and autoscaling you manage.
MediaLive,Media Services,Live Stream API,VideoLAN / OBS,CLOSE,"Codificación en vivo. AWS separa estrictamente Live de Convert; GCP/Azure tienden a unificarlo en una sola API, simplificando el flujo.","Live encoding. AWS separates Live encoding from file conversion; provider feature sets differ (inputs, redundancy, outputs)."
MediaPackage,Media Services,Live Stream API (packaging/DRM) (aprox.),Shaka Packager (aprox.),APPROX,"Packaging/origin de streaming (HLS/DASH, DRM). Equivalencia aproximada porque el feature-set y DRM/integraciones varían.","Streaming packaging/origin (HLS/DASH, DRM). Close equivalent by streaming pattern; DRM/licensing and integration details differ."
MediaStore,Blob Storage,Cloud Storage,MinIO / Ceph RGW + CDN (aprox.),APPROX,Almacenamiento optimizado para media/streaming con baja latencia. En otros clouds se usa object storage + CDN; OSS requiere object store + CDN/caching.,Media/streaming‑optimized storage with low latency. In other clouds this is often object storage + CDN; OSS requires an object store + CDN/caching.
MemoryDB,Azure Cache for Redis,Memorystore,Redis (Durable),CLOSE,Redis como DB primaria con durabilidad total. Diferente a ElastiCache. OSS requiere Redis con persistencia AOF habilitada y backups frecuentes.,"Redis as a primary database with full durability. Different from ElastiCache (cache‑first); semantics for persistence, replication, and failover differ."
ModelRegistry,ML Registry,Vertex AI Model Registry,MLflow,CLOSE,Gestión de versiones de modelos. AWS integra en SageMaker. OSS MLflow es la recomendación técnica para evitar lock-in de plataforma.,Model version/registry management. AWS ties this into SageMaker; OSS equivalents include MLflow Model Registry and similar MLOps tooling.
MongoDBAtlas,MongoDB Atlas,MongoDB Atlas,MongoDB Community / Percona Server for MongoDB,CLOSE,SaaS gestionado por MongoDB (Atlas) disponible en múltiples nubes. Alternativa OSS/self-host: MongoDB Community/Percona (no 1:1 en operación/servicios gestionados).,MongoDB‑managed SaaS (Atlas) available across multiple clouds. Typically the same vendor product rather than a native 1:1 cloud service.
MSK,HDInsight (Kafka),Managed Kafka,Apache Kafka,CLOSE,"Kafka gestionado. Paridad alta (mismo motor). Diferencias en gestión de conectores, registro de esquemas y versiones disponibles por proveedor.","Managed Kafka. High parity (same engine). Differences are in authentication, scaling/partition management, and managed operations."
NAT,NAT Gateway,Cloud NAT,iptables / Squid,CLOSE,Salida a internet de red privada. GCP ofrece modelo automatizado; AWS/Azure requieren configuración manual por subred o VNet.,Egress to the internet from a private network. GCP offers more automated NAT; AWS/Azure often require per‑subnet/VNet configuration.
Neptune,Cosmos DB (Gremlin),Spanner Graph,JanusGraph / Neo4j,CLOSE,DB de grafos (Property Graph/RDF). Neptune soporta ambos; Cosmos se centra en Gremlin. Semántica de consultas SPARQL vs Cypher varía.,Graph database (Property Graph/RDF). Neptune supports both; Cosmos DB is mainly property graph. Query languages and RDF support differ.
NLB,Load Balancer (L4),Cloud Load Balancing (L4),IPVS / Keepalived,CLOSE,Balanceo en capa 4 para tráfico TCP/UDP de ultra-baja latencia. Capacidad de manejar picos de tráfico sin pre-warm previo.,Layer‑4 load balancing for ultra‑low‑latency TCP/UDP traffic. Close equivalent by pattern; feature and health‑check behaviors differ.
OnPremDC,Azure Stack,Google Distributed Cloud,OpenStack,APPROX,Extensión a centros de datos locales. Patrón varía de extensiones de red (Direct Connect) a racks físicos completos (Outposts).,"Extension to on‑prem data centers. The pattern ranges from network extensions (private links) to full managed racks (e.g., Outposts)."
OpenSearch,Elasticsearch Service,Elasticsearch Service,OpenSearch,CLOSE,Fork de Elasticsearch gestionado. Misma semántica de indexación. OSS OpenSearch evita licencias restrictivas de Elastic para laboratorios.,"Managed Elasticsearch fork. Similar indexing/query semantics; differences relate to version compatibility, plugins, and managed features."
Organizations,Management Groups,Resource Manager,N/A (gobernanza de cuentas cloud),CLOSE,Gobernanza multicuenta. AWS usa SCPs; Azure Blueprints/Management Groups; GCP jerarquías. Cambia el patrón de herencia de políticas corporativas.,Multi‑account governance. AWS uses SCPs; Azure uses Management Groups/Policy; GCP uses org hierarchy. Policy inheritance patterns differ.
Outpost,Azure Stack Hub,Distributed Cloud,N/A (hardware),CLOSE,"Hardware gestionado en datacenter local. AWS opera el rack; Azure Stack permite hardware de terceros certificados, cambiando el modelo de soporte.","Managed hardware deployed in a local data center. AWS operates the rack; Azure Stack supports certified third‑party hardware, changing the support/ops model."
Pinpoint,Mobile Engagement,Firebase (FCM),Mautic / PostHog (aprox.),APPROX,Engagement de usuarios. GCP lidera mediante Firebase. Pinpoint está orientado a campañas masivas; Firebase a analítica e interacción de la App.,"User engagement/messaging. GCP often centers this on Firebase. Capabilities differ across channels, segmentation, and analytics integrations."
Polly,Speech Service (TTS),Text-to-Speech,Coqui TTS,CLOSE,Texto a voz con IA. Soporte SSML y voces neuronales. OSS Coqui TTS es la recomendación técnica para control total del modelo de síntesis.,"AI text‑to‑speech. Supports SSML and neural voices. OSS (e.g., Coqui TTS) requires model hosting and voice quality varies."
PrivateLink,Private Link,Private Service Connect,Istio/Linkerd + mTLS + internal LB (aprox.),CLOSE,Conectividad privada a servicios (endpoint). Azure Private Link y GCP Private Service Connect son equivalentes cercanos; OSS solo aproxima el patrón con service mesh/mTLS + routing.,"Private connectivity to services (private endpoints). Azure Private Link and GCP Private Service Connect follow the same pattern; differences are in endpoint types, DNS integration, and cross‑network sharing."
QLDB,Azure SQL Database Ledger (ledger tables) (aprox.),Blockchain Node Engine (approx.) / Cloud SQL + tamper-evident logs,Hyperledger Fabric / ImmuDB,APPROX,"Ledger/tamper-evident. No hay 1:1 en GCP; se aproxima con managed blockchain o logs inmutables (p.ej., immudb) + DB. En Azure existen ledger tables.","Ledger / tamper‑evident store. No 1:1 service in GCP; can be approximated with managed blockchain or immutable logs (e.g., immudb) + a database. Azure offers ledger tables."
QuickSight,Power BI,Looker,Apache Superset / Metabase,CLOSE,Herramienta de BI. Power BI domina en Azure por integración Office. OSS Superset es opción técnica para visualización masiva sin licencias.,"BI tool. Power BI dominates in Azure due to ecosystem integration; in GCP the common counterpart is Looker. OSS alternatives require self‑hosting (e.g., Metabase/Superset)."
RAM,Lighthouse / Shared VNet,Shared VPC / IAM,N/A (feature nativo cloud),APPROX,Compartición de recursos entre cuentas. Azure/GCP gestionan mediante jerarquías; no existe servicio independiente para compartir subredes o catálogos.,Resource sharing across accounts. Azure/GCP manage this via IAM/org constructs; the sharing primitives and policy inheritance differ.
RDS,Azure SQL / DB for MySQL,Cloud SQL,PostgreSQL / MySQL,CLOSE,"DB relacional gestionada. Patrón de administración (HA, parches, backups) universal. OSS: Operadores como CloudNativePG ofrecen paridad.","Managed relational database. Close equivalent by operational pattern (HA, patching, backups); differences are in engine versions, features, and scaling options."
RedShift,Synapse Analytics,BigQuery,ClickHouse,CLOSE,DW columnar. BigQuery es serverless; RedShift suele requerir gestión de nodos. OSS ClickHouse es alternativa para analítica OLAP de alto rendimiento.,"Columnar data warehouse. BigQuery is serverless, while Redshift often involves node management. OSS ClickHouse is a strong alternative for high‑performance OLAP analytics."
Rekognition,Vision AI,Vision AI,OpenCV / TensorFlow,CLOSE,Análisis de imagen/video pre-entrenado. Capacidades de detección varían según dataset. OSS requiere entrenamiento y gestión manual de modelos.,Pre‑trained image/video analysis. Detection capabilities vary by dataset/model. OSS requires training/hosting models and managing the pipeline.
RoboMaker,ROS on Azure (VM/AKS) + simulación (Gazebo/Ignition) (aprox.),ROS on GKE/VM + simulación (Gazebo/Ignition) (aprox.),ROS (Robot Operating System),APPROX,Simulación y tooling para robótica. No hay 1:1 como servicio managed; se implementa sobre compute/K8s con stack ROS.,Robotics simulation and tooling. No 1:1 as a managed cloud service; typically built with ROS + simulators (Gazebo/Ignition) plus CI/compute.
Route53,Azure DNS,Cloud DNS,CoreDNS / Bind9,CLOSE,DNS gestionado. AWS incluye registro de dominios y ruteo complejo (geo/failover) que otros replican con nombres distintos pero semántica idéntica.,Managed DNS. AWS includes domain registration and advanced routing policies; feature sets and routing semantics differ across providers.
S2SVPN,VPN Gateway,Cloud VPN,StrongSwan / OpenVPN,CLOSE,"VPN sitio-a-sitio (IPsec). Equivalencia cercana; difieren opciones de routing (BGP), throughput, HA y límites.","Site‑to‑site VPN (IPsec). Close equivalent; differs in routing options (BGP), throughput, HA, and limits."
S3,Blob Storage,Cloud Storage,MinIO,CLOSE,"Object storage. Equivalencia cercana (API/semántica difiere: consistencia, IAM/policies, storage classes). OSS típicos: MinIO/Ceph RGW.","Object storage. Close equivalent (APIs/semantics differ: consistency, IAM/policies, storage classes). Common OSS options: MinIO / Ceph RGW."
SageMaker,Azure Machine Learning,Vertex AI,Kubeflow,CLOSE,Plataforma E2E de MLOps. OSS Kubeflow sobre Kubernetes es la vía para enseñar el ciclo de vida de ML evitando lock-in de plataforma.,"End‑to‑end MLOps platform. OSS Kubeflow on Kubernetes is the closest pattern, but parity requires assembling multiple components (training, registry, pipelines, deploy)."
SageMakerGroundTruth,ML Labeling,Vertex AI Labeling,Label Studio,CLOSE,Etiquetado de datos. AWS integra Mechanical Turk. OSS Label Studio es la herramienta técnica para gestión de datasets personalizados.,Data labeling. AWS integrates Mechanical Turk. OSS Label Studio covers workflows but requires hosting and workforce/process management.
SAP,SAP on Azure,SAP on GCP,N/A (software propietario),CLOSE,SAP es software propietario (workload). Equivalencia por el mismo producto en cada nube (SAP on Azure / SAP on Google Cloud). No hay alternativa OSS 1:1.,SAP is proprietary software (a workload). Equivalence is about running the same SAP stack on each cloud; not a cloud‑native service twin.
SecretsManager,Key Vault (Secrets),Secret Manager,HashiCorp Vault,CLOSE,Gestión de secretos. AWS ofrece rotación nativa RDS. OSS HashiCorp Vault es el estándar para gestión agnóstica a la nube.,"Secrets management. AWS offers native rotation for some services (e.g., RDS). OSS HashiCorp Vault provides similar primitives but needs integration/operations."
SecurityHub,Defender for Cloud,Security Command Center,Wazuh / OpenSearch SIEM (aprox.) + policy-as-code,APPROX,Centro de postura de seguridad. Semántica distinta: AWS se enfoca en cumplimiento (CIS/PCI); Azure en protección activa contra amenazas.,"Security posture hub. Different semantics: AWS aggregates findings across services; other clouds center around posture management + SIEM. Mapping is functional, not 1:1."
ServerlessApplicationRepository,Serverless Solutions,Cloud Marketplace / templates (aprox.),Helm Charts,APPROX,Catálogo de apps serverless. En GCP lo más parecido es Marketplace y plantillas/artefactos; no hay 1:1 exacto.,Catalog of serverless applications. In GCP the closest is Marketplace templates; OSS equivalents are Helm charts/templates and internal catalogs.
ServiceCatalog,Managed Applications,Service Catalog,Backstage (service catalog) + templates,APPROX,Gobierno de servicios de TI autorizados. Permite lanzar recursos pre-aprobados. Semántica distinta en gestión de versiones de catálogos.,"Governance for approved IT services. Lets users launch compliant templates; equivalents exist via IaC catalogs/portals, but workflows differ."
ServiceNow,ServiceNow,ServiceNow,GLPI / iTop (aprox.),APPROX,ITSM SaaS (3P). Es el mismo vendor en cualquier nube; OSS solo ofrece aproximaciones (no paridad 1:1).,ITSM SaaS (third‑party). Same vendor across clouds; OSS substitutes are heavier to run and rarely match full ITSM breadth.
SES,Communication Services,(sin servicio nativo) SendGrid/Mailgun (3P) + SMTP (aprox.),Postfix / Mail-in-a-Box,CLOSE,"Email transaccional/masivo. GCP no ofrece un SES nativo; se usa 3P (p.ej., SendGrid) o SMTP. OSS: Postfix solo cubre envío básico (deliverability requiere más).","Transactional/bulk email. GCP has no native SES; typically use third‑party (e.g., SendGrid) or SMTP. OSS: Postfix covers basic sending, but deliverability requires much more."
Shield,DDoS Protection,Cloud Armor,N/A (mitigación DDoS es mayormente SaaS/infra),APPROX,"Protección DDoS L3/L4. Azure DDoS Protection y GCP Cloud Armor cubren parte del patrón, pero difieren (network vs app-layer). No hay OSS real equivalente a escala; típicamente se recurre a proveedores de red/CDN.","Layer‑3/4 DDoS protection. Azure DDoS Protection and GCP Cloud Armor cover parts of the pattern, but differ (network vs app‑layer). No real OSS equivalent at scale; usually relies on network/CDN providers."
ShieldAdvanced,DDoS Protection Standard,Cloud Armor (Managed),N/A (mitigación DDoS avanzada),APPROX,DDoS con soporte/SLAs avanzados. No hay OSS equivalente. Mapeo aproximado a tiers avanzados de protección DDoS/WAF.,DDoS protection with advanced support/SLAs. No OSS equivalent. Approximate mapping to advanced tiers of DDoS/WAF protection.
SNS,Notification Hubs,Cloud Pub/Sub,Apache Pulsar,CLOSE,"Mensajería Pub/Sub. SNS soporta múltiples protocolos (SMS, Email, Lambda). GCP es un stream genérico; Azure se especializa en push móvil.","Pub/Sub messaging. SNS supports multiple protocols (SMS, email, Lambda). GCP Pub/Sub is a general bus; Azure has more specialized push/mobile options."
SQS,Queue Storage,Cloud Pub/Sub,RabbitMQ,CLOSE,Colas para desacoplamiento. Diferencia: SQS usa visibilidad temporal; GCP Pub/Sub usa ack/nack. SQS es estrictamente cola; Pub/Sub es bus.,"Queues for decoupling. Key difference: SQS uses visibility timeouts; GCP Pub/Sub uses ack/nack. SQS is strictly a queue, while Pub/Sub is a bus."
StepFunctions,Logic Apps,Workflows,Temporal.io,APPROX,Orquestación de máquinas de estado. Logic Apps es visual; Step Functions es declarativo vía JSON. Difieren en gestión de estados y timeouts.,"State‑machine orchestration. Logic Apps is more visual; Step Functions is declarative (JSON). They differ in state handling, timeouts, and integrations."
StorageGateway,Azure File Sync,Storage Transfer Service,rclone / MinIO gateway / Samba + caching (aprox.),APPROX,Puente storage híbrido. AWS incluye modos de volumen y cinta virtual (VTL) que Azure/GCP no replican nativamente en un solo servicio.,Hybrid storage bridge. AWS includes volume and virtual tape library (VTL) modes that Azure/GCP do not replicate natively within a single service.
STS,Microsoft Entra ID (OIDC/OAuth2) + Managed Identities (aprox.),Workload Identity Federation / STS token exchange (aprox.),Keycloak / Dex (OIDC) (aprox.),APPROX,Tokens temporales/assume-role. Es un patrón de identidad/federación más que un servicio único en otros clouds; equivalencia aproximada.,Temporary tokens / assume‑role. It is an identity/federation pattern rather than a single standalone service in other clouds; approximate equivalence.
SystemsManager,Automation / Update Mgmt,Guest Config,Ansible / SaltStack,APPROX,Gestión de flotas. AWS unifica parches e inventario en un agente; Azure/GCP fragmentan funciones en múltiples servicios independientes.,Fleet management. AWS unifies patching and inventory via an agent; Azure/GCP split similar capabilities across multiple independent services.
Textract,Form Recognizer,Document AI,Tesseract,CLOSE,OCR inteligente. Enseña extracción estructurada. OSS Tesseract provee OCR base pero requiere modelos adicionales para estructurar datos.,Intelligent OCR. Teaches structured extraction. OSS Tesseract provides baseline OCR but needs additional models/rules to structure data.
ThirdParty,-,-,-,,Marcador para servicios/proveedores externos (no corresponde mapear).,Marker for external third‑party services/providers (should not be mapped).
Timestream,Data Explorer,BigQuery (Time Series),InfluxDB / TimescaleDB,CLOSE,DB de series temporales gestionada. Optimizada para métricas. OSS InfluxDB es estándar para paridad técnica y portabilidad.,Managed time‑series database. Optimized for metrics. OSS InfluxDB is a common choice for technical parity and portability.
Transcribe,Speech Service,Speech-to-Text,OpenAI Whisper,CLOSE,Audio a texto con IA. APIs comparables en semántica. OSS Whisper es referencia técnica para paridad de precisión en laboratorios.,Speech‑to‑text with AI. Comparable APIs at the semantic level. OSS Whisper is a strong technical reference for lab‑level accuracy parity.
TransferFamily,SFTP for Blob Storage,Storage Transfer Service,ProFTPD,CLOSE,"SFTP gestionado directo a storage. Azure ofrece SFTP nativo en Blob; GCP requiere adaptadores, cambiando el patrón de acceso.","Managed SFTP directly into storage. Azure offers native SFTP in Blob; GCP requires adapters, changing the access pattern."
TransitGateway,Virtual WAN,Network Connectivity Center,FRRouting/BGP + VyOS/pfSense (aprox.),CLOSE,Hub de red regional. AWS TGW actúa como router virtual; Azure vWAN es solución orquestada global. Enseña topologías hub-and-spoke.,Regional network hub. AWS TGW acts as a virtual router; Azure vWAN is a more globally orchestrated solution. Teaches hub‑and‑spoke topologies.
Translate,Translator,Cloud Translation,LibreTranslate,CLOSE,Traducción dinámica con IA. Semántica sin variaciones; interfaces REST estándar para aplicaciones distribuidas globales.,On‑the‑fly machine translation. Semantics are similar; standard REST interfaces enable globally distributed applications.
VPC,Virtual Network (VNet),VPC Network,OVN,CLOSE,Aislamiento de red. Diferencia crítica: VPC en AWS/Azure es regional; en GCP es global por defecto. Fundamental para seguridad perimetral.,Network isolation. Critical difference: AWS/Azure VPC/VNet are regional; GCP VPC is global by default. Fundamental for perimeter security design.
VPCPeering,VNet Peering,VPC Network Peering,N/A (peering es feature cloud); similar: WireGuard/IPsec,CLOSE,Conexión privada entre redes. Patrón idéntico: tráfico no transita por internet pública y mantiene latencia interna del backbone.,Private connectivity between networks. Same pattern: traffic does not traverse the public internet and keeps backbone‑level latency characteristics.
VPN,VPN Gateway,Cloud VPN,OpenVPN / WireGuard,CLOSE,Tunelización IPsec. Estándar universal. Diferencias en límites de throughput y soporte de BGP entre gateways físicos y virtuales.,IPsec tunneling. Universal standard. Differences are in throughput limits and BGP support between physical and virtual gateways.
WAF,Azure WAF,Cloud Armor,ModSecurity,CLOSE,"Firewall capa 7 contra OWASP. Difieren en lógica de inspección, gestión de falsos positivos y costos por regla procesada.","Layer‑7 firewall against OWASP threats. Differences lie in inspection logic, false‑positive management, and per‑rule processing costs."
WorkSpaces,Azure Virtual Desktop,VDI partners / ChromeOS VDI / (dev) Cloud Workstations (según caso),Apache Guacamole (aprox.),APPROX,VDI gestionado. En GCP suele resolverse con partners o entornos de trabajo gestionados; OSS: Guacamole ofrece acceso remoto pero no es 1:1.,Managed VDI. In GCP it is often handled via partners or managed workspaces; OSS: Guacamole provides remote access but is not 1:1.
XRay,Application Insights,Cloud Trace,Jaeger / Zipkin,CLOSE,Trazabilidad distribuida. Enseña flujo de peticiones en microservicios. OSS OpenTelemetry evita dependencia de SDKs propietarios.,Distributed tracing. Teaches request flows in microservices. OSS OpenTelemetry avoids dependence on proprietary SDKs.
